"CNTRYID","SD"
"Albania",203.698792675724
"Baku (Azerbaijan)",455.63610155196
"Argentina",299.838080239062
"Australia",133.888320963731
"Austria",100.996665224683
"Belgium",397.315459496134
"Brazil",275.11005966015
"Brunei Darussalam",122.869530296467
"Bulgaria",176.901086805556
"Cambodia",175.729677499859
"Canada",333.961979360369
"Chile",161.390972458601
"Chinese Taipei",54.0800473910574
"Colombia",148.554364109918
"Costa Rica",95.9316684838785
"Croatia",85.2373480825887
"Cyprus",NA
"Czech Republic",138.002906387002
"Denmark",155.734180322224
"Dominican Republic",332.980725893739
"El Salvador",148.013181121529
"Estonia",88.4459933761066
"Finland",217.100098790532
"France",114.109078643124
"Georgia",212.346940941457
"Palestinian Authority",190.405399020961
"Germany",142.204698324247
"Greece",91.5720961542632
"Guatemala",133.192903835898
"Hong Kong (China)",84.3545846681935
"Hungary",118.516365082479
"Iceland",81.7481161313089
"Indonesia",171.263689155695
"Ireland",56.9995538979146
"Israel",117.504666752188
"Italy",131.457756095203
"Kosovo",130.203700438625
"Jamaica",158.240258250886
"Japan",73.1552665449029
"Kazakhstan",191.038851115352
"Jordan",224.998166390656
"Korea",60.6095379446202
"Latvia",102.315369311778
"Lithuania",137.227104022249
"Macao (China)",44.4090358484171
"Malaysia",95.5256255682595
"Malta",51.4520434811512
"Mexico",99.6743447953272
"Mongolia",149.849871095383
"Republic of Moldova",98.0541166784358
"Montenegro",101.833894456965
"Morocco",252.610367204553
"Netherlands",81.8854379848092
"New Zealand",76.3898711450322
"Norway",117.378489585407
"Panama",214.156437221024
"Paraguay",110.355494998581
"Peru",211.815502116278
"Philippines",148.478511966093
"Poland",83.6678869883328
"Portugal",100.404299366222
"Qatar",221.38047167335
"Romania",116.442201900958
"Saudi Arabia",143.227459667462
"Serbia",95.317206179388
"Singapore",65.6180568935897
"Slovak Republic",109.996549128686
"Viet Nam",76.1145249392876
"Slovenia",91.0834880963901
"Spain",394.065768185261
"Sweden",95.4930594205197
"Switzerland",138.0162148957
"Thailand",117.374447393523
"United Arab Emirates",353.425658535141
"TÃ¼rkiye",84.5583394634767
"North Macedonia",140.97078796487
"United Kingdom",225.316953994211
"United States",56.7111321087166
"Uruguay",161.089225834733
"Uzbekistan",232.624253243894
"Ukrainian regions (18 of 27)",94.7576700880908
